,current,previous,points,trend,id,uid,guid,firstName,lastName,displayName,shortname,links,country,countryFlag,picture,age,active,birthPlace,citizenshipCountry
126,127,129,429,+2,3277,s:850~a:3277,59ce0e30-440d-1aea-304c-91f986cefcbc,Yannick,Maden,Yannick Maden,,https://www.espn.com/tennis/player/_/id/3277/yannick-maden,Germany,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,,35,,"Stuttgart, Germany",GER
127,128,130,429,+2,2833,s:850~a:2833,68654540-4c35-bc42-a950-59cf60ed3c2e,Jason,Jung,Jason Jung,,https://www.espn.com/tennis/player/_/id/2833/jason-jung,,,https://a.espncdn.com/i/headshots/tennis/players/full/2833.png,35,True,"Torrance, CA, USA",USV
128,129,131,428,+2,2356,s:850~a:2356,e0e4e66a-5b19-9285-e8a9-1a03f040ac07,Hyeon,Chung,Hyeon Chung,,https://www.espn.com/tennis/player/_/id/2356/hyeon-chung,Korea,https://a.espncdn.com/i/teamlogos/countries/500/kor.png,https://a.espncdn.com/i/headshots/tennis/players/full/2356.png,28,True,"Suwon, South Korea",KOR
129,130,133,425,+3,2206,s:850~a:2206,fe21eb09-3fc1-8e3f-86b0-cfa8dec2440a,Mackenzie,McDonald,Mackenzie McDonald,,https://www.espn.com/tennis/player/_/id/2206/mackenzie-mcdonald,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/2206.png,29,True,"Piedmont, CA, USA",USA
130,131,127,423,-4,2638,s:850~a:2638,2f9685fd-1e6f-40fa-493e-328d6a8c4102,Sumit,Nagal,Sumit Nagal,,https://www.espn.com/tennis/player/_/id/2638/sumit-nagal,India,https://a.espncdn.com/i/teamlogos/countries/500/ind.png,,27,True,"Jhajjar, India",IND
131,132,138,422,+6,3264,s:850~a:3264,1f75780c-f8fb-bde7-e2ad-73e93af37444,Ilya,Ivashka,Ilya Ivashka,,https://www.espn.com/tennis/player/_/id/3264/ilya-ivashka,Belarus,https://a.espncdn.com/i/teamlogos/countries/500/blr.png,https://a.espncdn.com/i/headshots/tennis/players/full/3264.png,30,True,"Minsk, Belarus",BLR
132,133,134,421,+1,2292,s:850~a:2292,fe7e5327-0e27-fd14-875d-4eb243f712c2,Guido,Andreozzi,Guido Andreozzi,,https://www.espn.com/tennis/player/_/id/2292/guido-andreozzi,Argentina,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,,33,True,"Buenos Aires, Argentina",ARG
133,134,136,418,+2,2531,s:850~a:2531,afc180aa-f75a-f43b-8db7-45207c1bdc91,Steven,Diez,Steven Diez,,https://www.espn.com/tennis/player/_/id/2531/steven-diez,Canada,https://a.espncdn.com/i/teamlogos/countries/500/can.png,,33,True,"Toronto, Canada",CAN
134,135,132,417,-3,2624,s:850~a:2624,74dacbf1-f9fa-c23d-a372-f47534c589bf,Marc,Polmans,Marc Polmans,,https://www.espn.com/tennis/player/_/id/2624/marc-polmans,Australia,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,,27,True,"Amanzimtoti, South Africa",AUS
135,136,107,415,-29,1315,s:850~a:1315,7bfb23be-b21c-639d-f312-a2bafdd358b6,Bradley,Klahn,Bradley Klahn,,https://www.espn.com/tennis/player/_/id/1315/bradley-klahn,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/1315.png,34,True,"Poway, CA, USA",USA
136,137,135,411,-2,2119,s:850~a:2119,bea9602a-b464-a194-fbd6-ae65e9d84022,Attila,Balazs,Attila Balazs,,https://www.espn.com/tennis/player/_/id/2119/attila-balazs,Hungary,https://a.espncdn.com/i/teamlogos/countries/500/hun.png,,36,True,"Budapest, Hungary",HUN
